idx_feat_u,x,y,idx_part_u,idx_vert_u,vert_type,idx_feat_f,dist_feat_f,d,az,iF,interface,linkL,linkR,lengthL,lengthR,segmentL,segmentR,azimuthL,azimuthR,newvar,newflamvar
1,-98333.0,-101889.0,1011,49,5,1,47.51841748206689,-1.0,-1.0,-1,0,0,0,13.0,1.0,-1,-1,157.38013505195963,0.0,245811.0,1
1,-98328.0,-101901.0,1011,50,5,1,35.05709628591621,-1.0,-1.0,-1,0,1,0,17.46424919657298,13.0,3,-1,203.62937773065684,337.3801350519596,245811.0,1
1,-98335.0,-101917.0,1011,51,2,1,21.02379604162864,21.02307412983117,154.17900802578419,1,1,1,1,1.0,17.46424919657298,3,4,180.0,23.629377730656827,245811.0,1
1,-98335.0,-101918.0,1011,52,2,1,20.12461179749811,20.12461179749811,153.43494882292208,1,1,1,1,1.0,1.0,3,4,180.0,0.0,245811.0,1
1,-98335.0,-101919.0,1011,53,2,1,19.235384061671343,19.235384061671343,152.1027289690524,1,1,1,1,17.08800749063506,1.0,3,4,159.4439547804165,0.0,245811.0,1
1,-98329.0,-101935.0,1011,54,2,1,3.1622776601683795,2.3248097127458602,151.11341823295933,1,1,1,1,30.886890422961002,17.08800749063506,3,4,240.94539590092288,339.44395478041656,245811.0,1
1,-98356.0,-101950.0,1011,55,2,1,2.23606797749979,2.234232710954818,151.11341823321325,1,1,1,1,40.162171256046406,30.886890422961002,3,4,251.11391263029068,60.94539590092286,245811.0,1
1,-98394.0,-101963.0,1011,56,2,1,40.52159917870962,39.0,90.0,1,1,1,1,18.027756377319946,40.162171256046406,3,4,289.4400348281762,71.11391263029073,245811.0,1
1,-98411.0,-101957.0,1011,57,5,1,56.22277118748239,-1.0,-1.0,-1,0,0,1,1.0,18.027756377319946,-1,4,270.0,109.44003482817622,245811.0,1
1,-98412.0,-101957.0,1011,58,5,1,57.21887800367987,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,270.0,90.0,245811.0,1
1,-98413.0,-101957.0,1011,59,5,1,58.215118311311535,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,90.0,245811.0,1
1,-98413.0,-101958.0,1011,60,5,1,58.309518948453004,-1.0,-1.0,-1,0,0,0,6.708203932499369,1.0,-1,-1,206.56505117707795,0.0,245811.0,1
1,-98416.0,-101964.0,1011,61,5,1,62.16912416947821,-1.0,-1.0,-1,0,1,0,3.605551275463989,6.708203932499369,4,-1,236.30993247402026,26.56505117707799,245811.0,1
1,-98419.0,-101966.0,1011,62,2,1,65.5133574166368,64.0,90.0,1,1,1,1,1.0,3.605551275463989,4,5,270.0,56.309932474020194,245811.0,1
1,-98420.0,-101966.0,1011,63,2,1,66.49060083951716,65.0,90.0,1,1,1,1,1.0,1.0,4,5,180.0,90.0,245811.0,1
1,-98420.0,-101967.0,1011,64,2,1,66.70832032063167,65.0,90.0,1,1,1,1,1.4142135623730951,1.0,4,5,225.00000000000006,0.0,245811.0,1
1,-98421.0,-101968.0,1011,65,5,1,67.91170738539859,-1.0,-1.0,-1,0,0,1,2.23606797749979,1.4142135623730951,-1,5,243.43494882292194,45.0,245811.0,1
